Date,Open,High,Low,Close,Volume
2022-03-19 00:00:00,2938.84,2980.0,2937.28,2966.13,18208.3904
2022-03-19 01:00:00,2966.14,2967.56,2953.67,2955.89,11795.8284
2022-03-19 02:00:00,2955.9,2957.47,2944.0,2951.99,9640.3125
2022-03-19 03:00:00,2952.0,2958.17,2928.55,2947.85,15942.3728
2022-03-19 04:00:00,2947.85,2955.06,2939.56,2945.92,11842.5837
2022-03-19 05:00:00,2945.92,2947.23,2931.34,2933.38,8838.5405
2022-03-19 06:00:00,2933.39,2943.1,2929.65,2937.39,8262.7999
2022-03-19 07:00:00,2937.4,2937.4,2920.44,2924.4,14740.5144
2022-03-19 08:00:00,2924.41,2936.0,2922.4,2935.22,9566.4781
2022-03-19 09:00:00,2935.22,2955.19,2932.58,2945.03,15350.1574
2022-03-19 10:00:00,2945.03,2953.01,2936.99,2940.04,12470.1198
2022-03-19 11:00:00,2940.04,2951.95,2936.49,2946.41,10917.4636
2022-03-19 12:00:00,2946.42,2971.99,2941.79,2971.32,16457.1983
2022-03-19 13:00:00,2971.32,2977.0,2945.64,2948.49,14604.3988
2022-03-19 14:00:00,2948.48,2964.52,2939.22,2962.7,12991.7007
2022-03-19 15:00:00,2962.7,2977.86,2953.43,2967.68,18888.1565
2022-03-19 16:00:00,2967.69,2987.7,2956.57,2973.96,20212.2086
2022-03-19 17:00:00,2973.96,2977.37,2949.36,2957.54,15461.96
2022-03-19 18:00:00,2957.54,2958.57,2945.0,2956.24,12794.5366
2022-03-19 19:00:00,2956.23,2957.66,2946.86,2950.0,6021.5014
2022-03-19 20:00:00,2950.0,2966.6,2940.7,2953.01,11581.9473
2022-03-19 21:00:00,2953.01,2964.0,2947.6,2949.39,5906.7311
2022-03-19 22:00:00,2949.39,2949.4,2890.86,2935.6,32348.4745
2022-03-19 23:00:00,2935.6,2955.59,2930.73,2950.84,11127.1645
2022-03-20 00:00:00,2950.85,2964.17,2932.82,2939.48,12114.429
2022-03-20 01:00:00,2939.48,2942.28,2907.24,2927.87,20022.7139
2022-03-20 02:00:00,2927.88,2933.03,2913.54,2919.56,10595.7063
2022-03-20 03:00:00,2919.56,2936.9,2919.56,2933.39,6750.8762
2022-03-20 04:00:00,2933.4,2935.68,2917.86,2919.06,7850.2262
2022-03-20 05:00:00,2919.06,2932.03,2915.5,2929.51,8531.1282
2022-03-20 06:00:00,2929.51,2934.69,2923.03,2923.04,5547.2583
2022-03-20 07:00:00,2923.04,2927.99,2916.13,2925.47,6297.028
2022-03-20 08:00:00,2925.48,2931.08,2919.62,2925.71,6930.4729
2022-03-20 09:00:00,2925.71,2927.72,2896.16,2919.99,18583.6918
2022-03-20 10:00:00,2920.0,2924.83,2908.47,2915.19,8105.933
2022-03-20 11:00:00,2915.19,2920.0,2874.61,2886.49,16078.7962
2022-03-20 12:00:00,2886.49,2899.18,2868.54,2890.97,30227.9433
2022-03-20 13:00:00,2890.97,2894.62,2871.06,2873.39,24760.8304
2022-03-20 14:00:00,2873.39,2885.85,2856.3,2862.39,28900.2715
2022-03-20 15:00:00,2862.39,2869.14,2846.8,2853.93,26115.4036
2022-03-20 16:00:00,2853.94,2878.0,2840.49,2849.14,24922.5703
2022-03-20 17:00:00,2849.15,2852.48,2818.55,2826.57,22613.6385
2022-03-20 18:00:00,2826.57,2844.72,2817.21,2844.11,15304.1266
2022-03-20 19:00:00,2844.12,2879.9,2838.45,2875.7,17612.9567
2022-03-20 20:00:00,2875.7,2911.48,2870.07,2872.73,23180.9871
2022-03-20 21:00:00,2872.74,2888.06,2860.96,2879.74,9354.3641
2022-03-20 22:00:00,2879.74,2884.99,2853.5,2876.8,10773.425
2022-03-20 23:00:00,2876.8,2876.81,2849.66,2861.38,16434.0443
2022-03-21 00:00:00,2861.39,2871.93,2846.86,2870.27,11464.4911
2022-03-21 01:00:00,2870.27,2876.94,2860.0,2865.54,11034.7784
2022-03-21 02:00:00,2865.55,2871.86,2829.81,2843.85,27881.1931
2022-03-21 03:00:00,2843.85,2852.68,2829.85,2843.77,17214.3717
2022-03-21 04:00:00,2843.77,2849.17,2834.36,2845.28,13828.8407
2022-03-21 05:00:00,2845.29,2872.23,2842.65,2868.9,9371.8058
2022-03-21 06:00:00,2868.9,2876.48,2856.78,2860.64,12311.0504
2022-03-21 07:00:00,2860.64,2895.37,2855.22,2889.68,20348.7217
