OpenTime,OMG-USDT_Open,OMG-USDT_High,OMG-USDT_Low,OMG-USDT_Close,OMG-USDT_volume,CloseTime,OMG-QuoteAssetVolume,OMG-NumberOfTrades,OMG-TBBAV,OMG-TBQAV,OMG-ignore,LTC-USDT_Open,LTC-USDT_High,LTC-USDT_Low,LTC-USDT_Close,LTC-USDT_volume,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAV,LTC-TBQAV,LTC-ignore,ETH-USDT_Open,ETH-USDT_High,ETH-USDT_Low,ETH-USDT_Close,ETH-USDT_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USDT_Open,BTC-USDT_High,BTC-USDT_Low,BTC-USDT_Close,BTC-USDT_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
1648908000000,6.00100000,6.01300000,5.89500000,5.92800000,126689.30000000,1648911599999,754008.72750000,4899,54436.90000000,324156.89040000,0,127.40000000,127.90000000,127.20000000,127.40000000,17864.20300000,2278230.83770000,3088,10121.21600000,1291110.26570000,0,3504.27000000,3510.86000000,3481.55000000,3489.40000000,17763.78830000,62080417.78379100,31927,8540.36360000,29848237.00483200,0,46735.10000000,46801.50000000,46571.59000000,46617.07000000,1010.07016000,47136033.89785710,40832,533.12030000,24879066.15520540,0
1648911600000,5.92800000,5.93300000,5.76900000,5.84200000,318806.00000000,1648915199999,1858266.24520000,11001,158986.60000000,926765.44180000,0,127.30000000,127.50000000,125.00000000,125.80000000,38448.17800000,4849136.49700000,8731,16966.60200000,2139146.74130000,0,3489.39000000,3490.13000000,3445.00000000,3461.65000000,41455.24020000,143689086.93466900,53966,17191.71910000,59562398.04972200,0,46617.08000000,46617.08000000,46130.03000000,46295.06000000,2383.16797000,110450864.43948100,71648,1121.44948000,51974124.69809910,0
1648915200000,5.84100000,5.96600000,5.81200000,5.94500000,172154.80000000,1648918799999,1014237.48610000,5667,88312.50000000,520266.58070000,0,125.80000000,126.80000000,125.60000000,126.10000000,21473.24400000,2710107.76500000,4112,10494.16600000,1324839.40540000,0,3461.65000000,3487.57000000,3448.77000000,3475.31000000,23397.12900000,81230565.89395100,29817,12045.31710000,41820635.81231000,0,46295.06000000,46425.49000000,46155.00000000,46307.06000000,1402.52837000,64948476.84513200,53028,643.04650000,29776712.38197890,0
1648918800000,5.94300000,5.97600000,5.92500000,5.93700000,66717.30000000,1648922399999,396980.43340000,1977,30546.70000000,181778.65170000,0,126.10000000,126.70000000,125.90000000,126.30000000,8699.15800000,1099506.58190000,2375,4738.92500000,599106.27940000,0,3475.32000000,3488.41000000,3465.04000000,3475.72000000,10942.39460000,38087040.14255900,19001,5772.98330000,20095848.92281800,0,46307.06000000,46487.01000000,46252.44000000,46359.10000000,1042.49929000,48347937.59604310,35079,484.12281000,22451656.71764870,0
1648922400000,5.93400000,5.94300000,5.80800000,5.86800000,248859.30000000,1648925999999,1463275.83860000,7208,118333.20000000,695798.40310000,0,126.30000000,126.50000000,123.50000000,124.30000000,39591.90900000,4942004.47550000,9224,16034.63200000,2000804.04620000,0,3475.71000000,3483.89000000,3433.14000000,3450.44000000,42269.02310000,146058667.23660700,51413,18273.94470000,63168539.17261100,0,46359.10000000,46394.77000000,45620.00000000,45831.61000000,4041.02577000,185608985.46341000,87171,1846.94332000,84809060.29880590,0
1648926000000,5.87100000,5.95000000,5.86500000,5.91500000,92486.20000000,1648929599999,547257.55150000,2565,44499.00000000,263302.99910000,0,124.20000000,125.40000000,124.20000000,125.20000000,9528.58900000,1191273.80300000,2314,5134.08100000,641854.55460000,0,3450.44000000,3482.37000000,3449.20000000,3470.65000000,10072.38280000,34966088.79805700,23910,5358.27000000,18599139.75910100,0,45831.61000000,46252.21000000,45811.03000000,46120.24000000,1267.14345000,58394165.72917840,34631,703.50983000,32416168.51878300,0
1648929600000,5.91800000,5.95100000,5.86500000,5.94000000,88234.80000000,1648933199999,522269.03480000,2623,44657.80000000,264349.01130000,0,125.20000000,125.80000000,124.80000000,125.30000000,16487.73200000,2066644.47810000,3213,9459.62700000,1185826.28020000,0,3470.66000000,3486.00000000,3453.71000000,3470.76000000,16430.20640000,57084953.07710200,26002,8490.74370000,29498462.79619900,0,46120.25000000,46350.00000000,46026.88000000,46181.06000000,1426.80984000,65957150.30648170,37530,687.33967000,31771507.49531230,0
1648933200000,5.93900000,5.95800000,5.86500000,5.95200000,39368.60000000,1648936799999,232967.37830000,1371,20262.40000000,119909.76040000,0,125.30000000,125.60000000,124.50000000,125.50000000,16518.71400000,2064885.06380000,2608,6168.91600000,771698.49060000,0,3470.75000000,3479.27000000,3452.00000000,3478.03000000,7147.77700000,24778466.68439700,14517,3266.67650000,11326090.54871100,0,46181.06000000,46317.85000000,45909.04000000,46231.00000000,831.63584000,38373390.99987270,33571,407.83108000,18818349.71752630,0
1648936800000,5.94900000,6.07400000,5.94900000,6.04500000,264132.50000000,1648940399999,1591030.47240000,10888,128706.10000000,775185.78700000,0,125.60000000,125.90000000,124.50000000,125.20000000,26607.77400000,3330807.64630000,3649,12673.45900000,1587057.91420000,0,3478.03000000,3487.11000000,3456.28000000,3466.76000000,11169.65750000,38767282.72109300,19481,5537.60140000,19220784.47665000,0,46231.00000000,46333.26000000,46040.55000000,46110.77000000,813.51338000,37565327.44655220,33154,413.59754000,19095869.59728150,0
1648940400000,6.04500000,6.11000000,5.99700000,6.04100000,260443.80000000,1648943999999,1576984.01120000,10366,131487.90000000,796406.32870000,0,125.20000000,126.00000000,124.50000000,124.80000000,16046.34800000,2010237.99440000,3133,7806.89700000,977891.52520000,0,3466.77000000,3471.99000000,3434.11000000,3443.77000000,14799.22520000,51094885.90731800,23797,6935.11680000,23937984.21286500,0,46110.77000000,46148.74000000,45756.94000000,45811.00000000,1084.82998000,49845473.91935200,39367,476.14050000,21875256.21862520,0
